,Sentence,Sentiment
1566,"`` However , the rapidly increasing costs and the strengthening of the euro were challenging for the whole industry , and they impacted on our results . ''",negative
3867,"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",positive
6876,Cuteness Overload as Seal Walks into New Zealand Hardware Store,positive
2104,Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .,positive
4466,"That address also happens to house Italian megamart Eataly , meaning that `` Come on , kids , we 're going to the Toy Building ! ''",neutral
1645,"In the Czech Republic , the profiling unit at Ostrava will be closed and the machinery will be relocated to Ruukki 's bigger plants in Hungary , Poland and Romania by the end of the first quarter of 2009 .",neutral
1785,"The shares subscribed for under the stock options were registered in the Trade Register on 20 January 2011 , as of which date the new shares will establish shareholder rights .",neutral
4358,"The largest construction company in Finland , YIT Corporation , is to acquire 70 % of the shares in the Slovak construction company Reding Bratislava .",neutral
608,"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",positive
1545,Buffett's Company Reports 37 Percent Drop in 2Q Earnings,negative
3345,"Operating profit , excluding non-recurring items , totalled EUR 2.2 mn , down from EUR 2.7 mn in the corresponding period in 2008 .",neutral
304,"The company 's profit totaled Ls 578,100 in H1 2007 , down 30.9 % year-on-year .",negative
3388,"$RIG whos ever pushing this is crazy, get ready for suspended dividend (turning into growth stock) blow out earnings, and major buyback, lol",neutral
2428,Short-term licenses for the games cost as little as $ 3 while purchasing a game outright can cost as much as $ 10 or $ 15 .,neutral
6633,Ivy League Professors Launch Website to Donate Tax-Cut Proceeds to Charity,positive
1003,A merger between UPM and Finnish-Swedish Stora Enso is not likely either .,neutral
3440,$CSX another strong rail today after breaking intraday resistance at 1$9.80 https://t.co/eA4FBVuqGP,positive
5959,"After Year of Isolation, Most Americans Still Aren’t Tired of Their Homes, And Plan Even More Upgrades",positive
5387,"HKScan , headquartered in Turku , Finland , is a leading northern European food group with 10,000 employees in nine countries .",neutral
1333,"Olvi , which controls a 94 percent stake in Ragutis through A. Le Coq , said in its annual report published earlier this year that the Lithuanian brewery 's sales reached 15.04 million euros last year , a rise of 20.4 percent from 12.49 million euros in 2004 .",positive
1731,"When this investment is in place , Atria plans to expand into the Moscow market .",neutral
632,The production is to be liquidated before June 2009 and 325 employees loose their jobs .,neutral
581,The company will enhance the GPRS capability in the existing 12 IDEA telecom service areas and add 10 more service areas to its network .,positive
2817,"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive
3711,Rapala estimates its net sales for 2008 will increase by between 8.0 pct and 12 pct assuming 2007 exchange rates .,positive
6779,Man is Working to Convert Cruise Ship into Supportive Housing Community for the Homeless,positive
6736,230 Employees Surprised by $6.6M in Year End Bonuses,positive
2212,The CVs of the proposed members are available for viewing from 12 March 2008 onwards on the Internet at www.sampo.com/ir .,neutral
4746,Glaston 's net profit for the third quarter of 2007 dropped to 2.4 mln euro ( $ 3.5 mln ) from 3.5 mln euro ( $ 5.1 mln ) for the corresponding period of 2006 .,negative
4365,"The paper industry 's de-inking sludge , which is produced in mills that use recycled fiber when printing ink is removed from recovered paper , is also a suitable raw material .",neutral
4714,"Finnish electronics contract maker Incap Oyj said on January 3 , 2008 it sold its manufacturing facilities in Helsinki to local real estate company Sponda Oyj for 5.3 mln euro ( $ 7.8 mln ) .",neutral
5043,Nokia is also negotiating the product portfolio of the new company .,neutral
5101,LSE-Deutsche Boerse merger would signal end to exchange mega-deals,positive
4295,"L&T is operative in Finland , Sweden , Latvia , Russia and Norway .",neutral
5434,Mobile data transfer is expected to increase explosively in the LTE era .,neutral
227,Tesco sales rise shows tentative recovery continues,positive
355,"Established in 1987 , the SRV Group is a private Finnish construction concern with operations in Finland , the Baltic countries and Russia .",neutral
5346,Chief executive officer Olli-Pekka Kallasvuo 's changes on Tuesday mark the third time in nine months the company has reshuffled executives and operations as Nokia loses ground to Apple 's iPhone and RIM 's BlackBerry .,negative
1368,"Nokia OYJ 's production site at Bochum , Germany , posted profit before interest of 134 mln eur for 2007 , Capital reported in an excerpt of an article to be released tomorrow , citing internal documents .",neutral
4319,Added. Cost now at 1.54. Bounce off of Put OI & S1 pivot. @moteltan BTO $AAPL Apr 27 2012 605.0 Calls @ 1.66 for ride to 609 ish.,positive
914,GET MIDNIGHTTRADER IN REALTIME : This report is delayed .,neutral
703,"The broker highlights Cargotec as its preferred stock in the sector , as it is a pure play on global cargo and container handling , and it expects it to play an active role in further consolidating the industry .",positive
179,"The government started the sell-off last month , putting an 8 percent stake in TeliaSonera on the auction bloc .",neutral
283,"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .",negative
2703,The capital structure of Solidium may be complemented by other financial instruments in the future .,neutral
5701,"Retail chain Suomen L+ñhikauppa was given the index 5.8 , airline SAS 5.8 , TeliaSonera 's broadband 6.1 , German retail chain Lidl 6.1 , Tele Finland 's mobile subscriptions 6.1 , Tallink shipping line 6.3 , and power company Helsinki Energy 6.3 .",neutral
3522,Apple Inc.: The Rip-Roaring Rally Is Just Beginning! (AAPL) | InvestorPlace $AAPL https://t.co/jrcFC8XlY9,positive
5800,Market Report: Eight-day rally ends for FTSE 100 and Standard Chartered,neutral
358,Jacobs has been supporting Storengy 's investment of developing storage sites since 2006 as owner 's engineer .,neutral
3229,Sales in Finland rose by 3.9 % and international growth was 0.7 % .,positive
2910,The financial details of the transaction were not disclosed .,neutral
6005,"Born a Preemie Herself, She Sets Up Mini-Libraries in Neonatal Wards So Parents Can Read to their Premature Babies",positive
1388,J+ñrvi-Suomen Portti is also planning to reduce the use of sodium nitrite .,neutral
4571,"Operating profit excluding non-recurring items decreased to EUR 6.2 mn from EUR 16.8 mn in 2007 , representing 2.3 % of net sales .",neutral
1213,The Department Store Division 's sales fell by 8.6 % to EUR 140.2 mn .,negative
4015,The front surfaces of these valve plates are directed towards each other .,neutral
3692,Valmet Automotive reports net sales of EUR 85mn and operating profit of EUR 8mn .,neutral
3716,Sunrise Resources operates in Russian near-shore development markets through its wholly-owned Russian subsidiary and has 80 % of its personnel in Russia .,neutral
4691,Teleste was set up in 1954 and is divided into Broadband Cable Networks and Video Networks business areas .,neutral
6947,Texas Signs ‘Save Our Lemonade Stands Bill’ as Governor Tips a Cold One on Twitter Video,positive
3896,$AAPL iPhone shipments on track to exceed forecasts - MarketWatch https://t.co/2CXahJIX7d,positive
3723,Yahoo stock is up to $36.46 as the bidding war picks up for the company https://t.co/JDNZXDCMkl $YHOO https://t.co/HmOegfHgvn,positive
4193,AstraZeneca Explores Potential Deal With Acerta for Cancer Drug,positive
4809,"The share capital of Biotie Therapies Corp. constitutes 90,211,860 shares in the aggregate and the number of voting rights attached to the shares amounts to 90,211,860 .",neutral
6228,New York Start-Ups Ride Tech Boom,positive
0,"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",positive
6104,"Retiring Car Dealer Gives Employees $1,000 for Each Year of Service",positive
6582,Hotel Helps Dogs Get Adopted By Allowing Long-Term Guests to Foster Shelter Pups During Their Stay,positive
5964,Siblings Filmed Playing Sweet Spontaneous Porch Concert for Elderly Neighbor in Self-Isolation,positive
5106,AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,positive
6780,10-Year-Old Seeks to Empower Other Kids During COVID-19 Pandemic,positive
5757,"Products include Consumer Electronics devices such as mobile phones and their accessories , set-top boxes , flat panel TVs as well as System Solutions products such as infrastructure systems , modules and other industrial segment products .",neutral
709,Retailers Kingfisher and Sports Direct rise in Britain's share index,positive
4,"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",neutral
2294,"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .",positive
5337,The markets expect Heineken to sell Hartwall as a whole or in parts .,neutral
3105,"Customers wave cards in front of the reader to make payments , similar to `` touch and go '' cards used in transport systems .",neutral
6770,Labrador Retriever Has Been Helping Owner Collect Hundreds of Pounds of Trash From Beach Since She Was a Pup,positive
161,"PA ) , JPMorgan Chase and Co ( NYSE : JPM ) and Pohjoa Bank are joint lead-managers on the senior , unsecured deal .",neutral
2624,VIVUS $VVUS bear raid in effect. Stock down 12%,negative
3746,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,positive
5334,"The steelmaker said that the drop in profit was explained by the continuing economic uncertainty , mixed with the current drought in bank lending , resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations .",neutral
5905,Income Earning Opportunity From Geri: Conference Call Recording,positive
4444,Commission income rose by 25.7 % to EUR 16.1 mn from EUR 12.8 mn in 2004 .,positive
4724,The Finnish company previously said its operating result will be lower than the break-even posted a year earlier .,neutral
6149,Record-breaking Water Purifier Made of Paper Could Bring Clean Water to Desperate Areas,positive
2824,"` The stable outlook reflects Nokia 's strong market position in the global mobile handset market , strong cash flow generation , and very conservative balance sheet , ' said Raab .",positive
2987,"The Inventors are Ridge Justin , Bao Yiliang and Karczewicz Marta .",neutral
1068,"Fastenal misses by $0.01, misses on revenue $FAST #NYSE https://t.co/63JHQ7pwMN",negative
3921,This combined with foreign investments creates interesting opportunities for Solteq .,positive
4469,Sales boost for new Morrisons chief David Potts as Tesco turnaround stalls,negative
2962,"When completed , the 120-meter Watchtower will be the highest building in Ireland .",neutral
6994,Church Gives Extreme Home Makeover ‘Beyond Belief’ for Family Hit by Tragedy,positive
4885,BP joins forces with Det Norske in Norway,positive
1652,The bank sees a potential for Getinge share to rise .,positive
6475,How Obama Saved Capitalism and Lost the Midterms,positive
1031,- Tikkurila inspires you to color your life .,neutral
4464,"Nordic banks have already had to write off sizable loans in Latvia , with Swedbank , Nordea , DnB NOR and SEB reporting combined losses in excess of $ 1.35 billion in the period 2007 to 2010 against a backdrop of near economic meltdown in Latvia .",negative
4650,"The solution is demonstrated on a tablet developed by Aava Mobile as a multi-window system , which enables the use of several applications simultaneously , for example the viewing of messages and calendar side by side .",neutral
6506,Flat Tires From Brazil’s Rough Roads Recycled For Home Construction,positive
1064,"Tieto 's service is also used to send , process and receive materials related to absentee voting .",neutral
1476,He confirmed his view on July 6 .,neutral
1343,The reduction notice applied to 17 people .,neutral
1404,"Finnish forest machinery and equipment maker Ponsse Oyj said on October 5 , 2007 it will deliver a total of 67 cut-to-length method forest machines and 44 harvester heads to Brazilian paper maker Bahia Pulp and to unnamed Uruguayan wood harvesting contractors .",positive
2116,"Operating profit for the 12-month period decreased from EUR17 .9 m while net sales increased from EUR58 .3 m , as compared to 2007 .",neutral
3017,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",positive
7018,"The Great Sockathon: Change Your Socks, Change the World",positive
5016,He is resting comfortably and is looking forward to getting back to work . '',neutral
2526,SABMiller buys Meantime to quench thirst for craft beer,positive
381,"Finnish construction company YIT is reducing the number of start-ups of market-financed residential units in 2007 to about 2,300 from the previously announced 2,700 .",neutral
3341,"The planned facility , estimated to cost around $ 814 million , would be the largest biodiesel plant in the world , and use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .",positive
3853,Coffee will be served starting at 14:30 EET as well as after the event .,neutral
6253,UK “Green” Job Market Swelling Amid Recession,positive
5940,American Consumer Confidence Jumps to Highest Level in 7 Years,positive
7007,World’s First High-Speed All-Electric Sport Utility Truck,positive
3708,These savings will have full impact as of the beginning of 2007 .,neutral
226,And U.S. energy executives say high steel prices are threatening energy exploration .,negative
3779,"However , the brokers ' ratings on the stock differ .",neutral
7046,"Good News in History, January 3",positive
6760,Good People Are Uniting in Ferguson,positive
4127,Satama 's net sales would be higher than the year before .,positive
6714,Clean Energy Economy Yields Significant Job Growth at all Skill Levels,positive
3987,"ALEXANDRIA , Va. , Oct. 23 -- Hans-Otto Scheck of Espoo , Finland , has developed a method of identifying remote radio units in a communication system .",neutral
5970,Hugh Jackman Launches Coffee Company with All Profits to Charity,positive
5029,"Following the payment made in April , the company has a total of EUR 23.0 million in loans from financial institutions .",neutral
3284,"The subsidiary will be responsible for filter sales , local assembly of filters and after market services in China .",neutral
3936,The order is a follow-on to an 11 mln euro ( $ 16.1 mln ) deal made in July 2007 .,neutral
1147,"$ADBE technical alerts: Expansion Breakout, Gilligan's Island Sell Setup, Volume Surge, and New 52... https://t.co/LxX66tknFH",positive
1409,"$ZSL looking very weak, could be a good short setup.",negative
350,"The company said production volumes so far indicate the circuit is capable of the targeted output rate of 60,000 tonnes per day , or 22 million tonnes a year .",neutral
6353,"At 108, Oldest Living Vet Likes Cigars, Whiskey and Driving to Church",positive
521,"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",positive
4859,"The tightened competition situation in the production automation market has affected net sales during 2006 , Cencorp said .",neutral
4298,Comptel Corporation will publish its financial statements for 2008 on 12 February 2009 .,neutral
720,"Micron Technology Inc #NASDAQ: $MU down 2.3% today and down 8.9% since being put on ""The Short"" https://t.co/EQQLTfUiOU",negative
6703,World’s First All-Civilian Mission to Space Will Usher in New Era While Raising Money for St. Jude’s,positive
129,The adjustment measures will be carried out in phases to secure the delivery capability .,neutral
5770,"ALEXANDRIA , Va. , Oct. 3 -- Markka A. Oksanen and Harald Kaaja , both of Helsinki , Finland , Juha Salokannel of Kangasala , Finland , and Arto Palin of Viiala , Finland , have developed a system for providing communications security .",neutral
491,"( ADPnews ) - Dec 1 , 2009 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today that it will make redundant a total of 18 office and management staff members of its subsidiary Iittala Group Ltd. .",negative
3242,"The EU Commission said earlier it had fined ThyssenKrupp , United Technologies Corp 's Otis , Schindler AG and Kone Oyj a total of 992.3 mln eur for alleged cartel activity in the lift market going back twelve years .",neutral
6560,MBAs Today Want to Make an Impact on the World,positive
756,"This order , when delivered , will bring the total output of electricity in Italy generated by Wartsila equipment to more than 1,300 MW .",neutral
2486,"The orders consist in total of over 1,600 panels of lift-away weatherdeck hatch covers and they will be delivered for container vessels with capacities ranging from 2,000 to 13,300 TEUs .",neutral
6528,UN Loans $30M to Micro-Finance Plan for Poor Rural Indian Women,positive
3479,KONE is listed on the Nordic Exchange in Helsinki .,neutral
4565,Royal Mail turnaround proving expensive in tough UK market,neutral
3146,BG Group Still Happy With Shell's $70 Billion Offer,positive
1658,"Citigroup , Inc ( NYSE : C ) has announced that its Global Transaction Services ( GTS ) business has been awarded a new mandate by Finland-based Pohjola Bank Group .",positive
6585,"Mardi Gras Party Grows to 800,000 Despite Poor Economy (Video)",positive
4076,"In Finland , metal sector company Componenta is laying off temporarily the staff of its Pori mill from Christmas 2008 till 6 January 2009 .",negative
5529,Adobe Receives New Rating from Top Analyst $ADBE https://t.co/LJNXPEvHZN,positive
2971,$UTSI http://stks.co/15uR Long setup. Reported very good earnings.,positive
2568,"Since the association 's data do not cover sales figures from about 100 small local breweries and sales of imported beer products , the actual market shares of its members are smaller than those given in the report .",negative
6596,A 140-Acre Forest Is About to Materialize in the Middle of Detroit,positive
4545,"`` That 's a very high figure on the European scale , '' Noop said , recalling however that this also includes beer bought by Finnish tourists .",neutral
6707,"Rather Than Lay-offs, Cabinet Factory is Making Dollhouses For Needy Kids This Holiday",positive
2120,"In a separate announcement to the Helsinki stock exchange , Atria revealed that the company 's third quarter profits declined from EUR13 .9 m in the third quarter of last year to EUR12 .7 m in this year 's Q3 .",negative
1691,Merging the two free sheets will clarify the market situation .,neutral
989,Increased trust of our clients in YIT can be seen as apartment sales accelerated .,positive
4769,Activision Blizzard Media Networks Announces Record #Esports Viewership https://t.co/729BiqLbtK $ATVI partnered with $HDSI for 9 #tournament,positive
3861,This is due to the postponement of the decision-making of projects in the negotiation phase from the earlier estimation .,neutral
3038,#Tesla Model S deliveries are up 35% in Germany - record deliveries in March [Chart] https://t.co/yCnClcBImV  $TSLA,positive
2566,Outotec 's net profit for the second quarter of 2007 jumped to 16.8 mln euro ( $ 23.1 mln ) from 4.6 mln euro ( $ 6.3 mln ) a year ago .,positive
4126,South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .,positive
3271,The company slipped to an operating loss of EUR 2.6 million from a profit of EUR 1.3 million .,neutral
6452,What’s the Kindest Thing You’ve Ever Done? Here Are the Best Deeds People Say Strangers Have Done for Them,positive
1397,Below are unaudited consolidated results for Aspocomp Group under IFRS reporting standards .,neutral
3990,Latvenergo has ordered a significant expansion to the Tekla Xpower network information system .,positive
6159,Join Wall Street. Save the World.,positive
6458,"7-11 Clerk Fired for Giving Coffee to Homeless Man, Gets Better Offer",positive
3372,"Jensen , Njastein and Mike Critch , the head of Dovre North America business unit , will report to Toivola .",neutral
3343,"STX Finland Oy signed a a preliminary agreement for the building of an environmentally friendly , new generation cruise ferry for Viking Line to manage on between Turku , Finland , and Stockholm , Sweden withViking Line ABP .",positive
6384,Student Who Wrote About Pizza in Application is Accepted to Yale,positive
168,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive
5360,`` I warmly welcome Michael Frei to Outotec .,positive
3747,"Aberdeen AM posts H1 outflows, says conditions to remain challenging",negative
6968,How Phoenix Feeds The Hungry With Fresh Food While Saving Local Businesses and Farms,positive
6392,Europe Introduces Legislative Road Map to Becoming World’s First Climate-Neutral Continent By 2050,positive
4894,These restrictions do not apply to statutory dividends .,neutral
2005,"Finland-based companies , L+ñnnen Tehtaat and Raisio , have decided to dissolve the joint venture company ZAO Scandic Feed , which was established to start local animal feed business and feed production in northwest Russia .",neutral
1596,ND = Not disclosed .,neutral
4992,"ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same peri",negative
3298,"Citigroup , Inc NYSE : C , Deutsche Bank NYSE : DB and Pohjola Bank are lead managers for the sale .",neutral
1401,The order was valued at over EUR15m .,neutral
7004,Couple Donate $150 Million to Fight Poverty in Developing Nations,positive
6274,Does Your Generation Perform More Good Deeds Than Any Other?,positive
426,@chessNwine: $IWM 30-Minute Chart. Small caps threatening descending triangle breakdown under $110.20.  http://stks.co/r0KKm,negative
48,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive
3446,The number of bodily injury cases quadrupled in 2000-2006 .,neutral
1304,The Group 's revenue in 2008 amounted to EUR 94 million and the company currently employs approximately 730 people .,neutral
5818,$CERN - consolidating above 50 & 200 MA - nice long entry here w stop below 10 MA - targeting $70 area,positive
1891,"Speaking to just-drinks today , a spokesperson for Olvi said : `` We have performed very well in all four countries we operate in - namely , Finland , Estonia , Latvia and Lithuania . ''",positive
5552,Finnish handling systems company Cargotec Oyj ( HEL : CGCBV ) said today that it won a EUR 13 million ( USD 16.6 m ) contract to deliver MacGregor hatch covers for ships ordered by Norwegian shipowner Grieg Shipping .,positive
6406,Operation Smile Turning Disfigured Faces into Smiling Faces,positive
4139,"Several large stocks tacked lower , however .",negative
486,"A. Le Coq Special was developed for the bicentenary of the company and the trade mark , the brewer said .",neutral
1394,"The handset also features a Media Bar for quick access to favorite media and applications , including music , photos , YouTube or Ovi Share .",neutral
6307,Real World Test Shows All-Electric Big Rigs Can Go Farther and Charge Faster,positive
3391,These moderate but significant changes resulted in a significant 24-32 % reduction in the estimated CVD risk .,positive
2224,"YIT acquired investment rights to a 10,000 square metre residential project in Yaroslavl and to a 16,400 square metre project in Moscow .",neutral
273,The Efore plant at Saarijarvi in central Finland is one of the largest employers in the region .,neutral
1223,Sponda will record a profit from the sale of 8.5 mln euro ($ 12.4 mln).,positive
1299,"In Finland , insurance company Pohjola and the Finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists ' traffic safety .",positive
692,Finnish-Swedish TietoEnator is expanding its business quickly in Russia .,positive
1055,"Particular attention is being paid to energy efficiency in the construction of the building , as it is designed to meet the requirements of energy class B , and LEED certification will be applied for .",neutral
525,"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .",neutral
5977,Kansas Town That was Flattened by Tornado Rebuilt Green; Can Others Do the Same?,positive
4379,what is up with $HK..... from Jan to now it's been a sinking ship...,negative
6390,India Makes History With All Gas Stations Officially Preparing to Supply World’s Cleanest Fuel,positive
143,Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,neutral
5543,"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",positive
1512,Micron Shares Pounded On Fears Of Loss Of Business From Apple; Stifel Defends $AAPL $MU http://stks.co/t1Z8T @Marjo,negative
2238,"Okmetic closed its plant in Espoo in early 2004 , and all production lines from the site were moved to Okmetic 's plants in Vantaa , Finland and Texas , USA .",neutral
5253,"Thanks to the internet , consumers compare products more than previously and Finnish companies are not competitive .",neutral
4936,"The figure includes the change in the fair value of the property portfolio , EUR 26.2 million .",neutral
2405,"$TSLA lots of green on the 5 min, watch the hourly $259.33 possible resistance currently @ $257.00",positive
561,The hull of the vessel was built one block at a time and Ruukki delivered the plate material for each block as construction progressed .,neutral
1032,$isrg trading at all-time high after strong earnings report with 4 days of short interest.,positive
5072,"In the building and home improvement trade , net sales totalled EUR 1,173 mn , down from EUR 1,566 mn a year earlier .",negative
5813,The impact on TietoEnator 's net sales for 2008 from the purchase is expected to be some 11 mln euro $ 15.9 mln .,neutral
3007,"@StockTwits: @Kbkiwi: $TSLA Tesla Model S sales exceed target, profitability guidance amended upward: http://stks.co/jQ0w""""",positive
2191,Paper maker Stora Enso Oyj said Friday it has been acquitted of charges that it participated in a paper price-fixing conspiracy in the United States .,positive
4812,"ALEXANDRIA , Va. , Jan. 9 -- United States Patent no. 7,862,685 , issued on Jan. 4 , was assigned to Kemira Chemicals Inc. ( Marietta , Ga. ) .",neutral
4918,"During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day .",neutral
2182,"Luxembourg-registered investment fund Amber Trust II has won the final approval of Lithuania 's Competition Council to acquire 29.6 percent of Sanitas , the country 's largest pharmaceutical producer .",positive
6711,Red Lobster Employee Saves a Rare Blue Lobster And Restaurant Finds a Zoo To Adopt It,positive
5668,Its market share widened to 48.51 percent from 48.31 percent a year earlier .,positive
4248,Passenger-related revenue rose by 5.1 % to EUR 460.8 mn from EUR 438.5 mn in 2009 .,positive
5376,Rautaruukki aims to find work from the group 's other locations for those who have been made redundant .,neutral
3425,"The value of the order is EUR 700,000 .",neutral
3346,"Goodwill and other intangible assets account for some 2.0 mln euro ( $ 2.6 mln ) of the purchase price , 20 pct of which payable in Aspo shares .",neutral
568,Finnish Talvivaara Mining Co HEL : TLV1V said Thursday it had picked BofA Merrill Lynch and JPMorgan NYSE : JPM as joint bookrunners of its planned issue of convertible notes worth up to EUR250m USD332m .,neutral
4465,"Stora Enso 's business in North America has annual capacity of about 3 million tons and employs about 4,350 people .",neutral
1085,"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",positive
3886,"@harmongreg: $BBRY wkly, Inverse Head and Shoulders forming, triggers over 18.50, PO at least 30.80, watching http://stks.co/iPVJ",positive
4855,The company operates power plants in the Tyumen and Chelyabinsk regions and in the Khanty-Mansi Autonomous District .,neutral
5294,"Many of the commercial vessels had got stuck in the narrow Bay of Bothnia , where the ice is thicker , and around the Aaland islands .",negative
3864,Finnish logistics and information solutions provider Done Solutions Corporation ( OMX Helsinki : DSO1V ) reported on Wednesday ( 29 October ) an operating profit of EUR3 .6 m on net sales of EUR35 .1 m for the period January-September 2008 .,neutral
1659,Uponor maintains its full-year guidance for 2010 .,neutral
2753,"Mformation and Nokia noted they have established interoperability agreements that cover commercially proven , standards-based management of mobile devices , as well as mobile device security and mobile application management .",positive
3470,"Z. Bavelloni 's long-standing MD , Dino Bavelloni , has retired at the end of 2005 .",neutral
687,"Finnish IT solutions provider Affecto Oyj said today that it has won a frame contract , valued at some EUR2m , to implement the next phase of its insurance application for South African Mutual & Federal Insurance Company Limited M&F .",positive
5289,"As part of the transaction , the +ä+ñnekoski paper mill remained in M-real 's ownership and continued Galerie Art production for Sappi under a long-term contract .",neutral
1839,Her present position is the director of Stockmann 's international department stores .,neutral
2431,The volumes are expected to increase during the next few years .,positive
7079,Flight Attendant Adopts Stray Dog That Always Awaited Her Return From Countries Abroad,positive
1885,The company 's model is based on developer contracting construction projects and customer focused project management .,neutral
3655,Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007 .,neutral
508,"Finnish-owned contract manufacturer of electronics Elcoteq Hungary Kft has announced plans to recruit more than 650 new staffers to fulfill new orders in P+®cs , where the company has two plants .",positive
5978,Good Manners Pay Off: When Man is Desperate to Meet Lotto Deadline And Stranger Lets Him Go First,positive
3880,GenVec is a biopharmaceutical company developing novel therapeutic drugs and vaccines .,neutral
3756,CRH adds CR Laurence to acquisitions tally for $1.3bn,positive
6077,"Pearl Jam Sends $367K in Aid to Contaminated Flint, Michigan",positive
6479,CEO Gives 20 Million Dollar Company to Employees,positive
3605,"The agreement will provide The Switch with double the converter capacity , whilst opening up further manufacturing locations in China .",positive
534,Apple: Another attempt to break out on Apple but with weak PVT   $AAPL #Trading #investing #aapl https://t.co/DNh7Hgv22V,positive
5133,"According to Finnish insurance companies Tapiola , Local Insurance Group ( L+ñhivakuutus ) , and Pohjola the two fierce storms at the end of July and in the beginning of August 2010 that felled trees around Finland have speeded up sales of forest insurance .",positive
5022,"Nordstjernan will make the offer in approximately one month , in September 2007 .",neutral
3073,"Okhta Center area is expected to have about 700,000 square metres of office premises by 2016 .",neutral
5603,"It started with software that was capable of retrieving the data typed into the computer keyboard ( `` keyloggers '' ) , and then more complex mechanisms arrived on the scene , such as phishing and pharming .",neutral
2894,"Technopolis has set aside a plot of land measuring 4.6 hectares to build the park , Mikkonen said .",neutral
5475,$WMT BULLISH with MACD CROSSOVER with RSI and STO going up - above 73.4$ MA50 res. could run http://stks.co/gGCq,positive
3761,BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,positive
6611,"Happy Employees, Culture of ‘Weirdness’ Equals Success for Green Products Company Method",positive
3577,"Casinos red before the bell: $LVS -0.75%, $WYNN -0.47%, $WYNN -0.47% > unusual comibinations of what's running, what's red before the bell",negative
1707,The negotiations will concern the plant 's department producing winded roving that employs 10 people .,neutral
5776,"In 2009 , KONE had annual net sales of EUR 4.7 billion and approximately 34,000 employees .",neutral
2159,Operating profit excluding non-recurring items was EUR 7.8 million compared to EUR 11.2 million .,neutral
4823,"---------------------------------------------------------------------- -------------- Munich , 14 January 2008 : BAVARIA Industriekapital AG closed the acquisition of Elcoteq Communications Technology GmbH in Offenburg , Germany , with the approval of the",neutral
5850,South African Corporations Thinking Green,positive
2171,$FB Dax says bye bye 2013 - finished a great yr w 28% plus!,positive
6581,"Man Keeps Kids From Chopping Trees, Puts Them Into School, and Saves Environment at the Same Time",positive
5845,5 Reasons Why Good People Fail — and How to Turn it Around,positive
1276,"The report also said Nokia 's operations comprising the sites at Bochum , Ulm , Dusseldorf , Munich and Frankfurt posted operating profit after interest of 246 mln eur .",neutral
2117,Finnish industrial group Ruukki Group Plc OMX Helsinki : RUG1V said on Friday 14 November that its furniture business segment Incap Furniture has concluded personnel negotiations that were started at the end of September .,neutral
1060,The arrangements do not apply to the group 's units outside Finland .,neutral
